epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5361,0.74814,5.8433,0.01866,0.00265,0.6,0.05235,0.01619,0.62201,12.1871,0.02376,1e-05,1e-05,1e-05
2,25.3094,0.83683,6.02312,0.01925,0.00334,0.6,0.06226,0.01628,0.5878,12.1227,0.02219,2.9703e-05,2.9703e-05,2.9703e-05
3,34.2891,0.75119,6.18172,0.01693,0.00465,0.6,0.03721,0.01531,0.60879,12.1373,0.02332,4.901e-05,4.901e-05,4.901e-05
4,42.8207,0.7483,6.3119,0.01839,0.00606,0.6,0.02804,0.01623,0.66418,12.2046,0.02606,6.7921e-05,6.7921e-05,6.7921e-05
5,51.8752,0.74319,6.43091,0.02085,0.0074,0.6,0.01477,0.0115,0.61395,12.1127,0.02489,8.6436e-05,8.6436e-05,8.6436e-05
6,60.8058,0.63704,5.73118,0.01343,0.00978,0.6,0.02202,0.00982,0.58878,12.0617,0.02337,0.000104555,0.000104555,0.000104555
7,69.603,0.49434,6.04662,0.01148,0.00974,0.6,0.02488,0.01654,0.51332,11.9597,0.01977,0.000122278,0.000122278,0.000122278
8,79.1615,0.55377,6.29401,0.01463,0.02531,0.73333,0.0477,0.03652,0.59843,12.0567,0.02397,0.000139605,0.000139605,0.000139605
9,88.1289,0.50102,5.62659,0.01016,0.02089,0.73333,0.06912,0.05255,0.61175,12.0677,0.02462,0.000156536,0.000156536,0.000156536
10,96.8712,0.61458,6.00612,0.01396,0.02127,0.8,0.1187,0.08562,0.62626,12.0854,0.02535,0.000173071,0.000173071,0.000173071
11,107.341,0.52741,6.16363,0.01337,0.01624,0.8,0.14623,0.11299,0.68088,12.1478,0.02704,0.00018921,0.00018921,0.00018921
12,117.351,0.53512,5.5887,0.01127,0.01354,0.8,0.33056,0.26724,0.67142,12.1166,0.02564,0.000204953,0.000204953,0.000204953
13,130.881,0.50461,5.64099,0.01188,0.01646,1,0.31476,0.25735,0.62238,12.0462,0.02418,0.0002203,0.0002203,0.0002203
14,140.367,0.45274,5.64533,0.00988,0.01218,1,0.36469,0.31071,0.60641,12.0106,0.02368,0.000235251,0.000235251,0.000235251
15,149.296,0.50563,5.07268,0.0104,0.00964,1,0.40154,0.33912,0.61838,11.9889,0.02497,0.000249806,0.000249806,0.000249806
16,158.422,0.5022,5.42616,0.01064,0.00778,1,0.60633,0.47499,0.59603,11.9184,0.02419,0.000263965,0.000263965,0.000263965
17,167.489,0.60185,5.49779,0.01247,0.00645,1,0.6006,0.48395,0.54022,11.8245,0.02147,0.000277728,0.000277728,0.000277728
18,176.861,0.41856,5.00329,0.00878,0.00577,1,0.62784,0.4746,0.52591,11.817,0.02083,0.000291095,0.000291095,0.000291095
19,186.392,0.46322,5.29696,0.00998,0.00527,1,0.7012,0.53052,0.53126,11.8001,0.02122,0.000304066,0.000304066,0.000304066
20,195.475,0.51895,4.92679,0.01101,0.00487,1,0.71617,0.53516,0.52979,11.7676,0.02138,0.000316641,0.000316641,0.000316641
21,204.686,0.55407,5.25481,0.0132,0.00452,1,0.71603,0.56553,0.49403,11.7063,0.01949,0.00032882,0.00032882,0.00032882
22,213.909,0.5372,5.23027,0.01149,0.00442,1,0.74397,0.61869,0.43775,11.5515,0.01667,0.000340603,0.000340603,0.000340603
23,223.479,0.44733,4.99192,0.01015,0.00428,1,0.69867,0.55592,0.51294,11.6325,0.02015,0.00035199,0.00035199,0.00035199
24,232.639,0.55725,5.6493,0.01261,0.0042,1,0.6886,0.52338,0.57664,11.6798,0.02307,0.000362981,0.000362981,0.000362981
25,241.592,0.5219,4.84627,0.01274,0.00411,1,0.65732,0.51912,0.55695,11.5809,0.02242,0.000373576,0.000373576,0.000373576
26,250.585,0.46451,4.89873,0.01069,0.00406,1,0.66435,0.52036,0.55075,11.5157,0.02233,0.000383775,0.000383775,0.000383775
27,259.518,0.50569,4.97137,0.01148,0.00406,1,0.68429,0.54674,0.57417,11.4677,0.02345,0.000393578,0.000393578,0.000393578
28,268.336,0.53552,4.67846,0.01128,0.00406,1,0.68429,0.54674,0.57417,11.4677,0.02345,0.000402985,0.000402985,0.000402985
29,277.297,0.55807,5.00275,0.01404,0.00421,1,0.69786,0.51283,0.69466,11.6027,0.03003,0.000411996,0.000411996,0.000411996
30,286.373,0.54747,4.65496,0.01354,0.00446,1,0.73134,0.54198,0.70232,11.5489,0.03057,0.000420611,0.000420611,0.000420611
31,295.377,0.57394,4.8526,0.0136,0.00446,1,0.73134,0.54198,0.70232,11.5489,0.03057,0.00042883,0.00042883,0.00042883
32,304.655,0.55962,4.88469,0.01396,0.00476,1,0.68288,0.56042,0.59465,11.3732,0.0248,0.000436653,0.000436653,0.000436653
33,313.941,0.62992,4.40577,0.01453,0.00502,1,0.64973,0.59912,0.45492,11.1602,0.0174,0.00044408,0.00044408,0.00044408
34,323.145,0.56383,4.29728,0.01292,0.00502,1,0.64973,0.59912,0.45492,11.1602,0.0174,0.000451111,0.000451111,0.000451111
35,332.514,0.60884,4.42796,0.01272,0.00517,1,0.67026,0.60234,0.48848,11.1497,0.01864,0.000457746,0.000457746,0.000457746
